Parameter_Name,Column3,Column4,Column5,File_Count
H_SFP_Squish2_Term14,0919,88,0000,6
RE_EB_Lockup_Range_2nd_Low,8C18,0088,0B9C,10
Chry_ErrF0_01,8A13,0087,0000,16
C_CBR_DeSoot_Disable_Protection_Chi_Enable,0288,86,2183,6
C_VGT_Pos_Offset_EGR_Pos_Thd,05E1,86,2110,6
C_ATM_SnuffEnterTmptrULimROC2Pers,034D,86,222A,4
Tool_EB_Min_Road_Speed_Upp_Lim,0009,0086,0010,16
ATM_DPFOutTempLeadRate,034E,86,0000,4
CBR_SOI_Chi9,0287,86,0000,6
Chry_DatF0_01,8A13,0086,0000,16
H_PWTM_Inhibit_Regen_2,03A8,86,0000,7
NAC_Out_Temp_EGT_Counter,0447,86,0000,6
RE_Governor_Pressure_M2_In_2nd_Gear,8C18,0086,0B9C,10
Tcase_Mux_Default,1966,0086,0000,12
C_CCC_HC_Ox_SD_Tmptr_LLim_Hyst,0288,84,2183,6
C_VGT_Pos_Offset_Coolant_Temp_Thd,05E1,84,2110,6
C_ATM_SnuffEnterTmptrULimROC1Pers,034D,84,222A,4
VR_Tachograph_Mode_Sel_2_Map,1579,0084,063E,8
C_SFP_Squish2_Gain4,0918,84,26C5,6
Tool_EB_Level_Dwell_Upp_Lim,0009,0084,0010,16
ATM_DPFOutTemp_Value,034E,84,0000,4
CBR_SOI_Chi8,0287,84,0000,6
Chry_ActED,8A13,0084,0000,16
EGT_Final_Fueling_Flag,0447,84,0000,6
H_PWTM_DeNOx_Inhibit_Flag,03A8,84,0000,7
H_SFP_Squish2_Term13,0919,84,0000,6
RE_Ebrake_Inhibit,8C18,0084,0B9C,10
Tcase_Mux_Sensor,1966,0084,0000,12
Chry_ErrED,8A13,0083,0000,16
C_EGR_BP_DeSox_Exit_Tmptr,05C2,82,2412,3
C_CCC_HC_Ox_SD_Tmptr_LLim,0288,82,2183,6
C_VGT_Pos_Offset_Cmd_Time,05E1,82,2110,6
C_ATM_SnuffEnterTmptrThdULim,034D,82,222A,4
VR_Tachograph_Mode_Sel_1_Map,1579,0082,063E,8
Tool_DR_MPG_Threshold_Upper_Limit,0009,0082,0010,16
ATM_DPFOutTemp_After_Lead,034E,82,0000,4
Booster_Cap_2_Volt_Default,1966,0082,0000,12
Cat_Out_Temp_EGT_Counter,0447,82,0000,6
CBR_MCF_Chi9,0287,82,0000,6
EGA_Driver_Reenable_Flag,0109,82,0000,6
H_SFD_Soot_Lvl_Inhibit_Regen,03A8,82,0000,7
RE_Governor_Set_Override_Value,8C18,0082,0B9C,10
C_EGR_BP_Cold_Exit_Tmptr,05C2,80,2412,3
C_CBR_OOM_Idle_Chi_EL,0288,80,2183,6
C_VGT_Pos_Offset_Batt_Volt_Thd,05E1,80,2110,6
C_ATM_SnuffEnterTmptrThdLLim,034D,80,222A,4
OBD_Lamp_Map,1579,0080,063E,8
C_SFP_Squish2_Gain3,0918,80,26C5,6
Tool_HS_Load_Factor_Shutdown_UL,0009,0080,0010,16
Booster_Cap_2_Volt_Sensor,1966,0080,0000,12
Cat_In_Temp_EGT_Counter,0447,80,0000,6
CBR_MCF_Chi8,0287,80,0000,6
EGA_Driver_Reenable_Counter,0109,80,0000,6
H_SFD_Engine_Cond_Inhibit_Regen,03A8,80,0000,7
H_SFP_Squish2_Term12,0919,80,0000,6
NXR_NAC_NOx_Accum_LLim,0365,80,0000,6
RE_Governor_Set_Override_Enable,8C18,0080,0B9C,10
V_APM_tm_Outlet_Dew_Point_Delay,034E,80,0000,6
C_Cold_Ascent_Mode_Enable,05C2,78,2412,3
C_CBM_NAC_Warmup_Rising_Rate,0288,78,2183,6
C_VGT_Pos_Offset_High_Cmd_Thd,05E1,78,2110,6
C_ATM_SnuffEnterTmptrLLimROC3Pers,034D,78,222A,4
CYL5_Sel_Map,1579,0078,063E,8
Unassigned_Discrete_Output_60_Map,1579,0078,063E,8
C_SFP_Squish2_Gain14,0918,78,26C5,6
Tool_PTO_Min_Reference_Speed_Lower_Limit,0009,0078,0010,16
H_ATR_HCDescorption_Suggested,034E,78,0000,7
H_SFP_Squish2_Term10,0919,78,0000,6
PTM_Final_Oper_Mode,03A8,78,0000,14
RE_Ovr_Heat_Lockup_Delay_3_2_Max,8C18,0078,0B9C,10
RGM_DeSOx_Enable,0287,78,0000,7
Trans_Oil_Tmptr_Sensor,1966,0078,0000,12
Chry_DatD1,8A13,0077,0000,16
C_EGR_BP_CC_Tmptr_DeSox_ULim,05C2,76,2412,3
C_CBM_NAC_Warmup_Falling_Rate,0288,76,2183,6
C_TGC_Min_SD_Inc_Rate,05E1,76,2110,6
C_ATM_SnuffEnterTmptrLLimROC2Pers,034D,76,222A,4
CYL4_Sel_Map,1579,0076,063E,8
Unassigned_Discrete_Output_59_Map,1579,0076,063E,8
OCM_Warning_Percent_Tool_UL,0009,0076,0010,16
ATP_NAC_Out_O2_Post_PComp,034E,76,0000,7
Crank_Have_Sync_Time,819B,0076,0000,16
NAC_Out_NOx,03A8,76,0000,7
RE_Ovr_Heat_Lockup_Delay_2_3_Max,8C18,0076,0B9C,10
SXL_Rich_Lambda_Ref,0287,76,0000,7
Trans_Gov_Press_Sensor,1966,0076,0000,12
Chry_ActD2,8A13,0075,0000,16
C_EGR_BP_CC_Tmptr_DeSox_LLim,05C2,74,2412,3
C_CBM_CCC_DeSoot_Factor,0288,74,2183,6
C_TGC_Min_SD_Dec_Rate,05E1,74,2110,6
C_ATM_SnuffEnterTmptrLLimROC1Pers,034D,74,222A,4
CYL3_Sel_Map,1579,0074,063E,8
Unassigned_Discrete_Output_58_Map,1579,0074,063E,8
C_SFP_Squish2_Gain13,0918,74,26C5,6
OCM_Warning_Percent_Tool_LL,0009,0074,0010,16
ATP_NAC_In_O2_Post_PComp,034E,74,0000,7
Chry_ErrD2,8A13,0074,0000,16
H_SFP_Squish2_Term1,0919,74,0000,6
HSG_Governed_Speed,0008,0074,000F,16
NAC_In_NOx,03A8,74,0000,7
RE_Ovr_Heat_Lockup_Delay_1_2_Max,8C18,0074,0B9C,10
SXL_Lean_Lambda_Ref,0287,74,0000,7
Trans_Gov_Press_Default,1966,0074,0000,12
C_EGR_BP_CC_Tmptr_Cold_ULim,05C2,72,2412,3
C_CBM_CCC_DeSOx_Factor,0288,72,2183,6
C_TGC_Min_OOM_Inc_Rate,05E1,72,2110,6
C_ATM_SnuffEnterDeSOxTmptrThd,034D,72,222A,4
CYL2_Sel_Map,1579,0072,063E,8
Unassigned_Discrete_Output_57_Map,1579,0072,063E,8
OCM_User_Hours_Tool_UL,0009,0072,0010,16
Cam_Have_Sync_Time,819B,0072,0000,16
NXP_Mdot_Lbmin,034E,72,0000,7
PilotCC_SOI_Penultimate_Dist,05F8,72,0000,7
RE_Max_3_Ratio_Lu,8C18,0072,0B9C,10
RGM_Tmptr_FFD_Rich_Time,0287,72,0000,7
Tool_HSG_OEM_Breakpoint_Speed_Max,0008,0072,000F,16
TVA_Rate_Limit_Pos_Thd_Hyst,8C7C,0072,0FEB,7
V_AIM_tr_Ambient_Air,03A8,72,0000,7
V_SXR_DeSOx_Override_Value,0366,72,0000,6
C_EGR_BP_CC_Tmptr_Cold_LLim,05C2,70,2412,3
C_TGC_Min_OOM_Dec_Rate,05E1,70,2110,6
C_ATM_SnuffEnterDeSootTmptrThd,034D,70,222A,4
CYL1_Sel_Map,1579,0070,063E,8
Unassigned_Discrete_Output_56_Map,1579,0070,063E,8
C_SFP_Squish2_Gain12,0918,70,26C5,6
C_CBR_PilotCC_SOI_Snuff,041A,70,22D5,4
OCM_User_Hours_Tool_LL,0009,0070,0010,16
Chry_DatD2,8A13,0070,0000,16
Final_Fueling_Lbm_Per_Min,034E,70,0000,7
H_SFP_Squish2,0919,70,0000,6
RE_OSS_Accel_Method,8C18,0070,0B9C,10
RGM_Tmptr_FFD_Lean_Time,0287,70,0000,7
SOx_PilCC_SOI_Ramped_Interp_Fact,05F8,70,0000,7
Tool_HSG_OEM_Breakpoint_Speed_Min,0008,0070,000F,16
TVA_Resistance_Tmptr_Coeff,8C7C,0070,0FEB,7
V_AIM_pr_Inj_Fuel,03A8,70,0000,7
V_SXR_DeSOx_Override_Enable,0366,70,0000,6
C_TGC_Max_SD_Dec_Rate,05E1,68,2110,6
C_ATM_SnuffRqst_FallingRate,034D,68,222A,4
Alternator_Field_Driver_Map,1579,0068,063E,16
Exhaust_Pressure_SV_Map,151F,0068,060C,16
C_SFP_Squish2_Gain10,0918,68,26C5,6
Tool_RSG_Bottom_Droop_Width_Upper_Lim,0009,0068,0010,16
AD_Cruise_Control_Switch2_Mux_Filtered_Value,03ED,68,0000,7
Crank_Resync_Count,819B,0068,0000,16
Cruise_Control_Switch2_Mux_Map,151F,68,0000,7
Cruise_Control_Switch2_Mux_Ratio_Supply_ID,193A,68,0000,7
Cruise_Control_Switch2_Mux_Raw_User_Value,03E0,68,0000,7
EVR_Idle_Assist_Max_Road_Speed,8A5F,68,0A1C,6
Exhaust_Pressure_SV_Ratio_Supply_ID,193A,0068,0D4B,8
H_SFP_Squish1_Term8,0919,68,0000,6
OBD_Pilot_Quantity_Control_Accepted,8850,68,0000,6
OCM_User_Hours,0008,0068,000F,16
PilotCC_SOI_Fuelpr_Derate_Correction,05F8,68,0000,7
PWM_Outputs_Period,1569,68,0000,7
RE_Max_2_Ratio_Lu,8C18,0068,0B9C,10
RGM_Lean_Lambda_Ref,0287,68,0000,7
Supply_2_Volt_Sensor,1966,0068,0000,12
TVA_Motor_Winding_Resistance_Min,8C7C,0068,0FEB,7
V_AIM_pr_Turbine_Out,03A8,68,0000,7
V_ATR_DeSOx_Map_Adjust,034E,68,0000,7
V_CBM_Cat_Trim_Filtered,910B,68,0000,6
VGT_MCF_Monitor_After_HTA_Timer,16A2,68,0000,5
Chry_DatCC,8A13,0067,0000,16
Transmission_Oil_Temperature_Raw_Priority,1520,0067,0000,10
C_EGR_BP_CC_Veh_Spd_Time,05C2,66,2412,4
C_TGC_Max_OOM_Inc_Rate,05E1,66,2110,6
C_ATM_SnuffExitTempTm,034D,66,222A,4
Tool_Cruise_Top_Droop_Width_Upper_Lim,0009,0066,0010,16
EVR_Idle_Assist_Max_RPM,8A5F,66,0A1C,6
OCM_Option,0008,0066,000F,16
PilotCC_SOI_DeSOx_Beta1,05F8,66,0000,7
Pilot_SOI_B,8850,66,0000,6
RE_CT_Ovr_Heat_Prot_Low,8C18,0066,0B9C,10
RGM_Lambda_Lead_Value,0287,66,0000,7
Transmission_Governor_Pressure_Raw_Priority,1520,0066,0000,10
TVA_Motor_Winding_Resistance_Max,8C7C,0066,0FEB,7
V_AIM_mf_Turbo_Out_O2,03A8,66,0000,7
V_ATR_Competing_Calls,034E,66,0000,7
V_CBM_Cat_Fuel_Filtered,910B,66,0000,6
VGT_MCF_Monitor_After_EB_Timer,16A2,66,0000,5
Chry_ActC0,8A13,0065,0000,16
TVA_Sampled_Position_Raw_Priority,1520,0065,0000,7
C_EGR_BP_CC_Target_Descent_Step,05C2,64,2412,4
C_RGM_DeSOx_Tmptr_Kp_User_Ovr,0288,64,2183,6
C_TGC_Max_OOM_Dec_Rate,05E1,64,2110,6
C_ATM_SnuffExitTempThd,034D,64,222A,4
Starter_Interlocks_Sink_Map,1579,0064,063E,16
C_SFP_Squish2_Gain1,0918,64,26C5,6
Tool_Cruise_Bottom_Droop_Width_Upper_Lim,0009,0064,0010,16
Chry_ErrC0,8A13,0064,0000,16
Crank_Resync_Time,819B,0064,0000,16
DeSoot_FAF_Ref,910B,64,0000,7
EVR_Idle_Assist_IAH_ON,8A5F,64,0A1C,6
H_SFP_Squish1_Term7,0919,64,0000,6
Initialize_Injector_Cyl_Trims,05F4,64,0000,6
LSG_Droop_Selected_Percent,0008,0064,000F,16
Pilot_B_Fuel_Quantity,8850,64,0000,6
PilotCC_SOI_DeSOx_Beta0,05F8,64,0000,7
RE_CT_Ovr_Heat_Prot_High,8C18,0064,0B9C,10
RE_TPS_Closed_Throttle,8BBC,0064,0B42,5
RGM_Lambda_FB_Catalyst_Fuel,0287,64,0000,7
TVA_Motor_Overcurrent_Error_Limit,8C7C,0064,0FEB,7
V_AIM_mf_Turbo_Out_NOx,03A8,64,0000,7
V_ATR_Accepted_Mode,034E,64,0000,7
VGT_MCF_Monitor_MCF_Percent_Error,16A2,64,0000,6
C_EGR_BP_CC_Veh_Spd_Persist_Time,05C2,62,2412,4
Soot_Filter_Manager_ITN_8757_Pad,035B,62,2235,6
C_RGM_DeSOx_Tmptr_Kp_Ovr_Value,0288,62,2183,6
C_TGC_Max_HCD_Inc_Rate,05E1,62,2110,6
C_ATM_SnuffExitLeadTempTm,034D,62,222A,4
Fan_Clutch_Control_Driver3_Map,1579,0062,063E,16
Intake_Temp_PP_Low_Set,0A72,62,27DF,6
Soot_Filter_Manager_ITN_9444_Pad,06C8,62,24E4,6
Tool_Cruise_Max_Road_Speed_Upper_Limit,0009,0062,0010,16
Cat_In_NOx_Sensor1_High_Error,1036,62,0000,7
Cat_In_NOx_Sensor1_Low_Error,1036,62,0000,7
Cat_In_Temperature1_High_Error,1036,62,0000,7
Cat_In_Temperature1_Low_Error,1036,62,0000,7
Cat_Out_NOx_Sensor1_High_Error,1036,62,0000,7
Cat_Out_NOx_Sensor1_Low_Error,1036,62,0000,7
DeSoot_FAF_Ramped_Interp_Fact,910B,62,0000,7
EGR_AZ_Retry_Timer,0109,62,0000,6
EVR_Chime_Count,8A5F,62,0A1C,7
H_HPCR_Min_Separation_Aux2_Aux3,05F4,62,0000,6
PilotCC_SOI_B,8850,62,0000,6
PilotCC_SOI_DeSOx,05F8,62,0000,7
PTO_Set_Speed_Display_Value,0008,0062,000F,16
RE_Lockup_Delay_OD_Off_Max,8BBC,0062,0B42,5
RE_Road_Speed_Filter_Constant,8C18,0062,0B9C,10
RGM_DeSoot_Enable,0287,62,0000,7
Soot_Filter_Delta_Pressure_High_Error,1036,62,0000,7
Soot_Filter_Delta_Pressure_Low_Error,1036,62,0000,7
T_Fan_Clutch_1_PWM_High_Control_Error,1036,62,0000,7
T_Fan_Clutch_1_PWM_Low_Control_Error,1036,62,0000,7
TVA_Motor_Overcurrent_Error_Fault_Increment,8C7C,0062,0FEB,7
TVA_Sampled_Position_High_Error,1036,0062,0000,7
TVA_Sampled_Position_Low_Error,1036,0062,0000,7
V_AIM_mf_Turbo_Out_NO2,03A8,62,0000,7
V_ATP_tr_soot_estimate,034E,62,0000,7
VGT_DyComp_Max_Cmd_Check_Timer,16A2,62,0000,6
C_EGR_BP_CC_Veh_Spd_Hyst,05C2,60,2412,4
C_SFL_SD_End_Idle_Delay_Enable,035B,60,2235,6
C_TGC_Max_HCD_Dec_Rate,05E1,60,2110,6
C_ATM_SnuffExitLeadTempThd,034D,60,222A,4
CY220_Off2_Map,1579,0060,063E,16
Exhaust_Pressure_Map,151F,0060,060C,16
Intake_Temp_PP_Low_Limit,0A72,60,27DF,6
C_SFP_Squish1_Offset,0918,60,26C5,6
C_Trans_Count_Max_Limit,06C8,60,24E4,7
Tool_Cruise_Max_Road_Speed_Lower_Limit,0009,0060,0010,16
AD_EGR_Bypass_Valve_Status_Filtered_Value,03ED,60,0000,7
Cat_In_Lambda_Sensor1_High_Error,1036,60,0000,7
Cat_In_Lambda_Sensor1_Low_Error,1036,60,0000,7
Cat_Out_Lambda_Sensor1_Low_Error,1036,60,0000,7
Cat_Out_Temperature1_High_Error,1036,60,0000,7
Cat_Out_Temperature1_Low_Error,1036,60,0000,7
Chry_DatC0,8A13,0060,0000,16
DeSoot_FAF_IMT_Ref,910B,60,0000,7
EGR_Bypass_Valve_Status_Map,151F,60,0000,7
EGR_Bypass_Valve_Status_Ratio_Supply_ID,193A,60,0000,7
EGR_Bypass_Valve_Status_Raw_User_Value,03E0,60,0000,7
EVR_Desired_Alt_Voltage_Offset,8A5F,60,0A1C,7
Exhaust_Pressure_Ratio_Supply_ID,193A,0060,0D4B,8
First_Speed_ISR_Time,819B,0060,0000,16
H_SFP_Squish1_Term6,0919,60,0000,6
J1939_GR_Timeout_Timer,117D,60,0000,7
PilotCC_B_Fuel_Quantity,8850,60,0000,6
PilotCC_SOI_DeNOx,05F8,60,0000,7
RE_T_Ovr_Heat_Prot_Low,8C18,0060,0B9C,10
RE_WOT_2LU_Enabled_Temp,8BBC,0060,0B42,7
RGM_DeSOx_Trim_Fuel_Fraction,0287,60,0000,7
Starter_Lockout_Driver_High_Control_Error,1036,60,0000,7
Starter_Lockout_Driver_Low_Control_Error,1036,60,0000,7
Sys_WD_Throt_Stuck_Offset,014A,60,0000,6
TVA_Motor_Overcurrent_Error_Fault_Decrement,8C7C,0060,0FEB,7
V_AIM_mf_Turbo_Out_HC,03A8,60,0000,7
V_ATM_SFM_Cmd_Interface,034A,60,0000,7
V_ATP_tr_NAC_Out_Prefilt,034E,60,0000,7
VGT_DyComp_Err_Reset_Timer,16A2,60,0000,6
P_Catalyst_Monitor_Run_Since_Fault_Cleared,08AD,59,2672,7
Chry_Err92,8A13,0059,0000,16
Misfire_Monitor_Drive_Cycle_Count,08AD,58,2672,7
C_EGR_BP_CC_Exit_Tmptr,05C2,58,2412,4
C_SFP_Max_No_DeSoot_EngSpd_Thd,035B,58,2235,6
C_RGM_DeSOx_Cat_Tmptr_Fil_Cnst,0288,58,2183,7
C_TGC_Protect_Decel_RPM_Threshold,05E1,58,2110,6
C_SFR_TmptrSprDstRampRateTact3,0A46,58,275D,4
C_APM_Dew_Point_Latch_Select,034D,58,222A,6
Intake_Temp_PP_High_Set,0A72,58,27DF,6
C_SFP_Squish1_Gain8,0918,58,26C5,6
C_Time_Limit_Low,06C8,58,24E4,7
P_DeSoot_Temp_Error_Time,06E0,58,24F7,7
Tool_Tire_Size_Lower_Limit,0009,0058,0010,16
LSG_OOM_Set_Speed_Enable,14EE,58,05E3,6
Exhaust_Throttle_Position_Raw_Priority,1520,0058,0000,8
H_SFP_Squish1_Term4,0919,58,0000,6
MM_Brake_Sw_Cycle_Count,08CF,58,0000,6
OEM_Press_Status,03F7,58,0000,2
PilotCC_DeSoot_Fuel_Quantity,8850,58,0000,6
PilotCC_SOI_Constant_Time_Flag,05F8,58,0000,7
RE_Lockup_Boost_2nd,8C18,0058,0B9C,10
RE_WOT_Anti_Hang_RPM,8BBC,0058,0B42,10
RGM_DeSOx_FFD_Table_Cat_Fuel,910B,58,0000,7
RGM_DeSOx_Kp,0287,58,0000,7
Sys_WD_EGR_Fault_Delay,014A,58,0000,7
TC_Rock_Cycle_Enable,106B,0058,0000,12
T_Midrange_Application_Enable,106B,58,0000,7
T_RGM_SXM_Lean_Lamb_Ovrd_Enbl,106B,58,0000,7
T_RGM_SXM_Manl_Int_Reset_Enbl,106B,58,0000,7
TVA_Algorithm_Enable,106B,0058,0000,7
TVA_Max_Overcurrent_DC,8C7C,0058,0FEB,7
Vac_Throttle_Cruise_Enable,106B,0058,0000,10
V_AIM_tr_DPF_Out,03A8,58,0000,7
V_ATP_tr_NAC_In_Postfilt,034E,58,0000,7
VGT_DyComp_Slew_Final_Cmd,16A2,58,0000,6
V_SFL_SD_EVIC_Response,0869,58,0000,6
PMM_Edge_Type_N,8194,0057,0311,16
