function_address,function_name,param_index,new_name,new_type,comment
0x0002238e,diagMemoryReadResponseBuilder,0,request_ptr,byte*,Pointer to read request structure
0x0002238e,diagMemoryReadResponseBuilder,1,start_address,uint,Memory start address to read
0x0002238e,diagMemoryReadResponseBuilder,2,read_length,uint,Number of bytes to read
0x0002f4be,diagnosticCommandTableDispatcher,0,cmd_index,byte,Diagnostic command table index

# -----------------------------------------------------------------------------
# Protection System Functions
# -----------------------------------------------------------------------------
0x00018f86,protectionStateUpdater,0,source_ptr,int,Pointer to source protection state data
0x00018f86,protectionStateUpdater,1,dest_ptr,int,Pointer to destination statistics structure
0x00018f86,protectionStateUpdater,2,condition_flag,ushort,Protection condition flag (0=normal 1=fault)
0x00018968,protectionConditionEvaluator,0,threshold_ptr,ushort*,Pointer to threshold configuration
0x00018968,protectionConditionEvaluator,1,state_ptr,uint*,Pointer to protection state data
0x00018968,protectionConditionEvaluator,2,sensor_value,ushort,Current sensor value to evaluate
0x00018c1c,diagnosticProtectionProcessor,0,config_ptr,ushort*,Pointer to protection configuration
0x00018c1c,diagnosticProtectionProcessor,1,state_offset,int,Offset into protection state table
0x00018c1c,diagnosticProtectionProcessor,2,threshold_value,int,Threshold value for comparison

# -----------------------------------------------------------------------------
# Fueling Control Functions
# -----------------------------------------------------------------------------
0x0001e02a,fuelingValueClamp,0,fuel_value_ptr,short*,Pointer to fueling value to clamp (0-5888)
0x0001cb76,rpmBasedFuelingLookup,0,rpm_index,ushort,RPM index for fueling lookup table
0x0000faa6,torqueCurveBreakpointCalculator,0,torque_index,byte,Torque curve breakpoint index

# -----------------------------------------------------------------------------
# Memory Operations
# -----------------------------------------------------------------------------
0x0002148a,memoryOperationDispatcher,0,request_ptr,int,Pointer to memory operation request
0x0002148a,memoryOperationDispatcher,1,operation_size,short,Size of memory operation
0x0002148a,memoryOperationDispatcher,2,operation_flags,uint,Operation control flags
0x000217de,memoryOperationFromMessageExtended,0,msg_ptr,int,Pointer to memory operation message
0x00010520,arrayRangeSum,0,start_ptr,short*,Pointer to start of array
0x00010520,arrayRangeSum,1,end_ptr,short*,Pointer to end of array

# -----------------------------------------------------------------------------
# Timing and Delay Functions
# -----------------------------------------------------------------------------
0x0002ca64,busyWaitDelayLoop,0,loop_count,ushort,Number of delay loop iterations
0x00034bf8,hardwareTimerDelayLoop,0,timer_ticks,ushort,Number of hardware timer ticks to wait

# -----------------------------------------------------------------------------
# Serial/UART Functions
# -----------------------------------------------------------------------------
0x0001e056,serialNodeAddressChecker,0,node_address,byte,Serial node address to check
0x0001e086,serialNodeAddressForwarder,0,node_address,byte,Serial node address to forward to

# -----------------------------------------------------------------------------
# TPU (Timer Processing Unit) Functions
# -----------------------------------------------------------------------------
0x0001e266,tpuTimerChannelEnable,0,channel_mask,ushort,TPU channel enable bitmask
0x0001e5f0,tpuChannelConfigurator,0,channel_config,uint,TPU channel configuration value

# -----------------------------------------------------------------------------
# Math Utility Functions (limitedDivisionCalculator only - others in Division/Clamping section)
# -----------------------------------------------------------------------------
0x00016628,limitedDivisionCalculator,0,dividend,uint,Value to be divided
0x00016628,limitedDivisionCalculator,1,divisor,uint,Value to divide by
0x00016628,limitedDivisionCalculator,2,limit_value,uint,Division result limit

# -----------------------------------------------------------------------------
# Switch/Input Processing
# -----------------------------------------------------------------------------
0x000206a8,ptpSwitchedInputDebouncer,0,input_state,uint,Current raw input state
0x000206a8,ptpSwitchedInputDebouncer,1,debounce_mask,uint,Debounce configuration mask
0x00020890,indexedSwitchedInputHandler,0,input_index,byte,Switched input channel index

# -----------------------------------------------------------------------------
# CAN Bus Configuration
# -----------------------------------------------------------------------------
0x000142a8,canBusConfigTypeSelector,0,config_type,byte,CAN bus configuration type selector
0x000142d4,parameterCalculationWithDivide,0,calc_mode,byte,Calculation mode selector

# -----------------------------------------------------------------------------
# Security Authentication Functions
# -----------------------------------------------------------------------------
# bitPackingAlgorithm @ 0x2fbd8 - Core security key derivation
# Takes 10-byte input and produces 10-byte output via bit manipulation
# Uses mask table, XOR table, and reorder table from ROM
0x0002fbd8,bitPackingAlgorithm,0,input_buffer,byte*,Pointer to 10-byte authentication input payload
0x0002fbd8,bitPackingAlgorithm,1,output_buffer,byte*,Pointer to 10-byte output (security_key[6] + hour_meter[4])

# hourMeterSecurityValidator @ 0x2fcdc - Validates auth payload against security key and hour meter
# Returns 0 on success, 1 on failure
# Increments retry counter on failure, locks out at 17 (0x11) attempts
0x0002fcdc,hourMeterSecurityValidator,0,auth_payload_ptr,byte*,Pointer to 10-byte authentication payload from request

# diagnosticServiceSecurityValidator @ 0x21982 - Checks if service requires auth and validates
# Returns 0xFF on success (auth passed or not needed), error code on failure
0x00021982,diagnosticServiceSecurityValidator,0,msg_ptr,int,Pointer to diagnostic message structure with service request

# diagnosticServiceDispatcher @ 0x2eea2 - Routes diagnostic services via dispatch table @ 0x801c7a
0x0002eea2,diagnosticServiceDispatcher,0,msg_ptr,int,Pointer to diagnostic message structure
