# CUDL.dll Function Rename Mapping
# Format: old_name|new_name
# Total functions: 109

# CAuditTrailProcess class (4 methods)
FUN_10002d60|CAuditTrailProcess_PostProcess
FUN_100454a4|CECMBCalibration_processCppCommand
FUN_100455b0|CECMBCalibration_getCalEE_CKSUMAddr
FUN_10045c10|CECMBCalibration_writeParamData
FUN_10045f10|CECMBCalibration_sendDataBlock
FUN_100460e0|CECMBCalibration_writeEEDataToRam
FUN_10046320|CECMBCalibration_getFOOTPRINTState
FUN_100464f0|CECMBCalibration_setFOOTPRINTState
FUN_100466d0|CECMBCalibration_writeBlockToEE
FUN_10046c40|CECMBCalibration_compareEEBlockToCal
FUN_10046ff0|CECMBCalibration_eeCkSumFaultStatus
FUN_100471c0|CECMBCalibration_checkMotorolaTestPattern
FUN_100473f0|CECMBCalibration_checkECMSecurity

# CECMBUpload class (1 methods)
FUN_10047ff0|CECMBUpload_Upload

# CECMCBlockDataStructure class (3 methods)
FUN_10049bf0|CECMCBlockDataStructure_Initialize
FUN_1004a57b|CECMCBlockDataStructure_ReadBlockDataStructure
FUN_1004ae60|CECMCBlockDataStructure_findActualBlockDataLength

# CGTIS20 class (13 methods)
FUN_1001f720|CGTIS20_38BlockDataStructure_ReadBlockDataStructure
FUN_1004b400|CGTIS20_38BlockDataStructure_Initialize
FUN_1004c670|CGTIS20_38BlockDataStructure_findActualBlockDataLength
FUN_1004cb90|CGTIS20_38Calibration_ExecuteUpload
FUN_1004cfd0|CGTIS20_38Calibration_GetRunLocation
FUN_1004f2bb|CGTIS20_38Calibration_XferProcess
FUN_1004f400|CGTIS20_38Calibration_GetECMStatus
FUN_1004fae6|CGTIS20_38Calibration_PutECMStatus2RIP
FUN_1004fe0d|CGTIS20_38Calibration_RombootByCLIP
FUN_100500d9|CGTIS20_38Calibration_AttachProductSelector
FUN_10054100|CGTIS20_38HeaderRecordGenerationProcess_AddHeaderRecords
FUN_10056c50|CGTIS20_38HeaderRecordGenerationProcess_AddASCIIHeaderRecords
FUN_10057770|CGTIS20_38HeaderRecordGenerationProcess_AddCalHeaderRecords

# CGTIS45BlockDataStructure class (1 methods)
FUN_10058d90|CGTIS45BlockDataStructure_Initialize

# CGTIS45Calibration class (3 methods)
FUN_10059ab0|CGTIS45Calibration_ExecuteDownload
FUN_10059f60|CGTIS45Calibration_ExecuteUpload
FUN_1005b35e|CGTIS45Calibration_XferProcess

# CGTIS45HeaderRecordGenerationProcess class (2 methods)
FUN_1005d540|CGTIS45HeaderRecordGenerationProcess_AddHeaderRecords
FUN_1005f59e|CGTIS45HeaderRecordGenerationProcess_GenerateXMLString

# CHeaderRecordProcess class (3 methods)
FUN_10062c70|CHeaderRecordProcess_returnSavedData
FUN_10062f30|CHeaderRecordProcess_getRestoredData
FUN_10063120|CHeaderRecordProcess_returnRestoredData

# CMandatorySaveRestoreProcess class (8 methods)
FUN_10064f20|CMandatorySaveRestoreProcess_PreProcess
FUN_1006583a|CMandatorySaveRestoreProcess_PostProcess
FUN_10066613|CMandatorySaveRestoreProcess_SaveApplicationParameters
FUN_100678c1|CMandatorySaveRestoreProcess_SaveParameters
FUN_10067b10|CMandatorySaveRestoreProcess_reEvaluateCanSaveRestore
FUN_10068c60|CMandatorySaveRestoreProcess_returnSavedData
FUN_10068f20|CMandatorySaveRestoreProcess_returnRestoredData
FUN_10069120|CMandatorySaveRestoreProcess_getRestoredData

# CUpload class (3 methods)
FUN_10083d30|CUpload_CUpload
FUN_10083ee7|CUpload_Upload
FUN_10085300|CUpload_GetFreeDiskSpace

