function_address,function_name,param_index,name,type,comment
0x00006d24,dispatchDiagnosticService,1,data_ptr,byte*,Pointer to service data
0x00006d24,dispatchDiagnosticService,2,data_length,ushort,Length of service data

0x0000662c,diagnosticSubcommandDispatcher,0,subcommand,byte,Diagnostic subcommand code
0x0000662c,diagnosticSubcommandDispatcher,1,data_ptr,byte*,Pointer to subcommand data

# -----------------------------------------------------------------------------
# Memory Read Handlers (Diagnostic Services 0x43-0x4A)
# Pattern: Returns response data via pointer, returns length
# -----------------------------------------------------------------------------
0x00001b48,diagMemoryReadHandler,0,address,uint,Memory address to read from
0x00001b48,diagMemoryReadHandler,1,length,ushort,Number of bytes to read
0x00001b48,diagMemoryReadHandler,2,response_ptr,byte*,Pointer to response buffer

# -----------------------------------------------------------------------------
# Handler Registration Functions
# -----------------------------------------------------------------------------
0x00001948,registerPgnResponseHandler,0,pgn,uint,PGN to register handler for (24-bit)
0x00001948,registerPgnResponseHandler,1,handler_func,void*,Function pointer for handler callback

0x00002cd8,registerPgnEf00Handler,0,sub_id,byte,Sub-identifier for PGN 0xEF00 filtering
0x00002cd8,registerPgnEf00Handler,1,handler_func,void*,Function pointer for handler callback

# -----------------------------------------------------------------------------
# J1939 PGN Dispatch System
# Core message routing for all J1939 PGN requests
# -----------------------------------------------------------------------------

0x00023188,cm848_j1939RegisterPgnHandler,0,pgn,uint,Packed 16-bit PGN: low byte=pgn_byte_0 high byte=pgn_byte_1 stored in dispatch table
0x00023188,cm848_j1939RegisterPgnHandler,1,handler_func,void*,Function pointer called when PGN matches incoming message

0x00022d60,j1939MessageDispatcher,0,rx_msg,j1939_rx_msg_t*,Pointer to received J1939 message

0x00023d3c,cm848_sendJ1939AcknowledgeMessage,0,request_msg,j1939_rx_msg_t*,Original request to acknowledge
0x00023d3c,cm848_sendJ1939AcknowledgeMessage,1,ack_type,J1939_ACK_TYPE,J1939-21 ACKM control byte value

0x00023dbc,cm848_sendJ1939NegativeAck,0,msg,j1939_rx_msg_t*,Received message to NACK (accesses dest_address at +2 and data_ptr at +6)
0x00023dbc,cm848_sendJ1939NegativeAck,1,ack_type,J1939_ACK_TYPE,J1939-21 ACKM control byte value

0x00005d8c,sendJ1939DiagnosticMessage,0,dest_address,byte,Destination address for response
0x00005d8c,sendJ1939DiagnosticMessage,1,data_ptr,byte*,Pointer to diagnostic response data
0x00005d8c,sendJ1939DiagnosticMessage,2,data_length,ushort,Length of response data

# -----------------------------------------------------------------------------
# J1939 DM (Diagnostic Message) Handlers
# Standard SAE J1939-73 diagnostic message processing
# -----------------------------------------------------------------------------
0x000227a0,j1939HandleDm1RequestMessage,0,request_msg,j1939_rx_msg_t*,Pointer to DM1 (Active DTC) request

0x000255c0,j1939SendDm1ResponseMessage,0,dest_address,byte,Destination address for DM1 response
0x000255c0,j1939SendDm1ResponseMessage,1,fault_count,byte,Number of active DTCs to report

0x0002641c,j1939SendDiagnosticStatusMessage,0,dest_address,byte,Destination address for status response
0x0002641c,j1939SendDiagnosticStatusMessage,1,status_type,byte,Type of diagnostic status to send

# -----------------------------------------------------------------------------
# J1939 Queue/Transport Protocol
# Multi-frame message handling (TP.CM/TP.DT)
# -----------------------------------------------------------------------------
0x00005fe4,handleJ1939DataTransfer,0,rx_msg,j1939_rx_msg_t*,TP.DT data transfer message

0x000062fc,processJ1939QueueTransmit,0,queue_entry,void*,Pointer to TX queue entry
0x000064c4,processJ1939QueueStatus,0,connection_id,byte,Transport protocol connection identifier

# -----------------------------------------------------------------------------
# Sensor Channel Processing Functions
# 17-channel sensor system with paired init/process functions
# Mode 2: sensorChannelConfigInit + updateSensorChannelWithConfig (13 params)
# Mode 0: sensorChannelSimpleProcess (simpler processing)
# -----------------------------------------------------------------------------
0x00500234,sensorChannelConfigInit,0,cal_ptr_1,void*,Calibration pointer 1
0x00500234,sensorChannelConfigInit,1,cal_ptr_2,void*,Calibration pointer 2
0x00500234,sensorChannelConfigInit,2,cal_ptr_3,void*,Calibration pointer 3
0x00500234,sensorChannelConfigInit,3,cal_ptr_4,void*,Calibration pointer 4
0x00500234,sensorChannelConfigInit,4,ram_buffer_1,void*,RAM buffer pointer 1
0x00500234,sensorChannelConfigInit,5,ram_buffer_2,void*,RAM buffer pointer 2
0x00500234,sensorChannelConfigInit,6,adc_index_primary,ushort,Primary ADC channel index
0x00500234,sensorChannelConfigInit,7,adc_index_secondary,ushort,Secondary ADC channel index
0x00500234,sensorChannelConfigInit,8,output_raw,ushort*,Pointer to raw output variable
0x00500234,sensorChannelConfigInit,9,output_filtered,ushort*,Pointer to filtered output variable
0x00500234,sensorChannelConfigInit,10,param_10,ushort,Configuration parameter
0x00500234,sensorChannelConfigInit,11,param_11,ushort,Configuration parameter
0x00500234,sensorChannelConfigInit,12,param_12,ushort,Configuration parameter

0x00500a4c,updateSensorChannelWithConfig,0,cal_ptr_1,void*,Calibration pointer 1
0x00500a4c,updateSensorChannelWithConfig,1,cal_ptr_2,void*,Calibration pointer 2
0x00500a4c,updateSensorChannelWithConfig,2,cal_ptr_3,void*,Calibration pointer 3
0x00500a4c,updateSensorChannelWithConfig,3,cal_ptr_4,void*,Calibration pointer 4
0x00500a4c,updateSensorChannelWithConfig,4,ram_buffer_1,void*,RAM buffer pointer 1
0x00500a4c,updateSensorChannelWithConfig,5,ram_buffer_2,void*,RAM buffer pointer 2
0x00500a4c,updateSensorChannelWithConfig,6,adc_index_primary,ushort,Primary ADC channel index
0x00500a4c,updateSensorChannelWithConfig,7,adc_index_secondary,ushort,Secondary ADC channel index
0x00500a4c,updateSensorChannelWithConfig,8,output_raw,ushort*,Pointer to raw/linearized output
0x00500a4c,updateSensorChannelWithConfig,9,output_filtered,ushort*,Pointer to filtered output
0x00500a4c,updateSensorChannelWithConfig,10,param_10,ushort,Configuration parameter
0x00500a4c,updateSensorChannelWithConfig,11,param_11,ushort,Configuration parameter
0x00500a4c,updateSensorChannelWithConfig,12,param_12,ushort,Configuration parameter

# Sensor Channel 3 (Boost/MAP Pressure) - calls the above with specific calibration
# (sensorChannel3_boostPressureInit + sensorChannel3_boostPressureProcess take no parameters)

# -----------------------------------------------------------------------------
# Boost Calculation Functions
# Core algorithms for computing boost-based fuel compensation
# -----------------------------------------------------------------------------
0x0001392c,selectLoadNormalizer,0,selector,ushort,Source selector (0=raw 1=computed 2=filtered)
0x0001392c,selectLoadNormalizer,1,raw_boost,ushort,Raw boost pressure from sensor
0x0001392c,selectLoadNormalizer,2,computed_boost,ushort,Computed boost value
0x0001392c,selectLoadNormalizer,3,filtered_boost,ushort,Filtered boost pressure

0x000130dc,calculateBoostPressureOffset,0,manifold_pressure,ushort,Filtered manifold pressure input
0x000130dc,calculateBoostPressureOffset,1,rpm,ushort,Engine RPM for table lookup

0x00013294,calculateBoostTorqueOffset,0,boost_input,ushort,Boost pressure input
0x00013294,calculateBoostTorqueOffset,1,rpm,ushort,Engine RPM for calculation

0x00012ad4,boostBasedFuelModifier,0,boost_denominator,ushort,Boost denominator (min 128) for fuel calc
0x00012ad4,boostBasedFuelModifier,1,base_fueling,ushort,Base fueling command to modify

# -----------------------------------------------------------------------------
# Parameter-by-ID Lookup System - CM848 diagnostic parameter resolution
# Resolves firmware parameter IDs (0x0000-0x12A9) to memory addresses
# Table at ROM 0x3CDC copied to RAM 0x3F98AC (20 entries x 6 bytes)
# -----------------------------------------------------------------------------
0x00003f70,lookupTableEntryByKey,0,param_id,ushort,16-bit parameter ID to resolve

0x000019e8,diagService65_handler,0,request_msg,int,Pointer to EF00 request message (service 0x41)

0x00001cf8,diagMemoryReadWithBaseOffset,0,request_msg,dword,Pointer to request message
0x00001cf8,diagMemoryReadWithBaseOffset,1,param_id,ushort,Parameter ID to resolve
0x00001cf8,diagMemoryReadWithBaseOffset,2,reserved,short,Reserved (always 0)
0x00001cf8,diagMemoryReadWithBaseOffset,3,offset,dword,Offset to add to resolved address

0x00001d5c,diagService67_memoryReadOffset,0,request_msg,int,Pointer to EF00 request message (service 0x43)

0x00001dc4,diagService74_memoryRead,0,request_msg,dword,Pointer to EF00 request message (service 0x4A)

0x00001e30,diagService76_memoryReadExt,0,request_msg,dword,Pointer to EF00 request message (service 0x4C)

# -----------------------------------------------------------------------------
# EF00 Service Dispatch System - J1939 PGN 0xEF00 handler registration
# Two dispatch tables: ef00_service_dispatch_table (0x3FA8B2) and diag_service_dispatch_table (0x3FDB30)
# -----------------------------------------------------------------------------
0x000220e4,processJ1939DiagnosticRequest,0,service_id,byte,EF00 service ID to register
0x000220e4,processJ1939DiagnosticRequest,1,handler_ptr,void*,Function pointer for service handler

0x00002c94,registerDiagnosticService,0,service_id,byte,Diagnostic service ID (0x43/0x4A/0x4C)
0x00002c94,registerDiagnosticService,1,handler_ptr,void*,Function pointer for service handler

0x00002cd8,registerPgnEf00Handler,0,sub_id,byte,Sub-identifier for PGN 0xEF00 filtering
0x00002cd8,registerPgnEf00Handler,1,handler_func,void*,Function pointer for handler callback

# -----------------------------------------------------------------------------
# J1939 Diagnostic Handler Return Types
# All handlers registered via processJ1939DiagnosticRequest share the
# DIAG_RESPONSE callback contract (ACK=0, NACK_NOT_READY=4, NACK_PROTECTED=7)
# -----------------------------------------------------------------------------
0x00021584,cm848_advanceDiagnosticActionState,return,,DIAG_RESPONSE,Returns DIAG_ACK(0) or DIAG_NACK_PROTECTED(7)
0x00021668,cm848_resetDiagnosticSession,return,,DIAG_RESPONSE,Always DIAG_ACK - unconditional state clear
0x000216e8,cm848_setColdStartActiveFlag,return,,DIAG_RESPONSE,Always DIAG_ACK - unconditional flag set
0x00021904,cm848_setColdStartMode2Flag,return,,DIAG_RESPONSE,Always DIAG_ACK - unconditional flag set
0x00021918,cm848_validateCalibrationMemory,return,,DIAG_RESPONSE,Returns DIAG_ACK(0) or DIAG_NACK_PROTECTED(7)

# -----------------------------------------------------------------------------
# J1939 RX Message Handlers - all receive j1939_rx_msg_t* as first param
# -----------------------------------------------------------------------------
0x00022d60,torqueControlModeHandler,0,msg,j1939_rx_msg_t*,Incoming J1939 RX message descriptor from CAN ring buffer
0x000236f0,cm848_j1939ProcessGovernorRequest,0,msg,j1939_rx_msg_t*,Incoming J1939 RX message descriptor from CAN ring buffer
0x000231cc,cm848_j1939DispatchPgnHandler,0,msg,j1939_rx_msg_t*,Incoming J1939 RX message descriptor from CAN ring buffer
0x00023b38,cm848_j1939DispatchAddressHandler,0,msg,j1939_rx_msg_t*,Incoming J1939 RX message descriptor from CAN ring buffer

# -----------------------------------------------------------------------------
# J1939 Send Dispatcher
# -----------------------------------------------------------------------------
0x000539fc,sendJ1939Message,0,msg,j1939_tx_msg_t*,TX message descriptor; dispatches to single-frame (<9 bytes) or multi-frame transport protocol

0x00053a4c,cm848_lookupJ1939SourceAddressIndex,return,,ushort,SA table index: 1=primary(auth) 2=secondary 3=tertiary(auth) 4=unknown
0x00053a4c,cm848_lookupJ1939SourceAddressIndex,0,source_address,uint,J1939 source address byte to look up in the 3-entry SA calibration table

# -----------------------------------------------------------------------------
# Math Division Runtime Helpers - 64-bit dividend (hi:lo) / 64-bit divisor (hi:lo)
# Must declare FULL prototype (return + all params): a return-only row commits a
# zero-param signature and Ghidra drops the call-site arguments.
# -----------------------------------------------------------------------------
0x000571b0,cm848_unsignedDivision32,return,,uint,Quotient of 64-bit/32-bit unsigned division
0x000571b0,cm848_unsignedDivision32,0,dividend_hi,uint,High 32 bits of 64-bit dividend
0x000571b0,cm848_unsignedDivision32,1,dividend_lo,uint,Low 32 bits of 64-bit dividend
0x000571b0,cm848_unsignedDivision32,2,divisor_hi,uint,High 32 bits of divisor (usually 0)
0x000571b0,cm848_unsignedDivision32,3,divisor_lo,uint,Low 32 bits of divisor
0x000570f0,cm848_signedDivision32,return,,int,Quotient of 64-bit/32-bit signed division
0x000570f0,cm848_signedDivision32,0,dividend_hi,int,High 32 bits of 64-bit dividend
0x000570f0,cm848_signedDivision32,1,dividend_lo,uint,Low 32 bits of 64-bit dividend
0x000570f0,cm848_signedDivision32,2,divisor_hi,int,High 32 bits of divisor (usually sign-extension)
0x000570f0,cm848_signedDivision32,3,divisor_lo,int,Low 32 bits of divisor
0x00056e90,cm848_unsignedDivision64by32,return,,uint,Quotient of 64-bit/32-bit unsigned division (worker)
0x00056e90,cm848_unsignedDivision64by32,0,dividend_hi,uint,High 32 bits of 64-bit dividend
0x00056e90,cm848_unsignedDivision64by32,1,dividend_lo,uint,Low 32 bits of 64-bit dividend
0x00056e90,cm848_unsignedDivision64by32,2,divisor_hi,uint,High 32 bits of divisor (usually 0)
0x00056e90,cm848_unsignedDivision64by32,3,divisor_lo,uint,Low 32 bits of divisor
0x00057120,cm848_signedDivision64,return,,int,Quotient of 64-bit/32-bit signed division (worker)
0x00057120,cm848_signedDivision64,0,dividend_hi,int,High 32 bits of 64-bit dividend
0x00057120,cm848_signedDivision64,1,dividend_lo,uint,Low 32 bits of 64-bit dividend
0x00057120,cm848_signedDivision64,2,divisor_hi,int,High 32 bits of divisor (usually sign-extension)
0x00057120,cm848_signedDivision64,3,divisor_lo,int,Low 32 bits of divisor

# -----------------------------------------------------------------------------
# Multiply-Divide helper - quotient/result returned in r4 (same shape as division)
# -----------------------------------------------------------------------------
0x00057498,cm848_conditionalMultiplyDivide,return,,uint,Result returned in r4
0x00057498,cm848_conditionalMultiplyDivide,0,dividend_hi,uint,High 32 bits of 64-bit dividend
0x00057498,cm848_conditionalMultiplyDivide,1,dividend_lo,uint,Low 32 bits of 64-bit dividend
0x00057498,cm848_conditionalMultiplyDivide,2,divisor_hi,uint,High 32 bits of divisor (usually 0)
0x00057498,cm848_conditionalMultiplyDivide,3,divisor_lo,uint,Low 32 bits of divisor

# -----------------------------------------------------------------------------
# Diagnostic handlers - r4 carries an updated request-buffer pointer, but unlike the
# division helpers r4 is NOT a parameter slot, so a declared return cannot be verified
# against data flow and dropped a potentially-live value. Reverted to void; revisit
# with explicit custom return storage (r4) if these need cleaning.
# -----------------------------------------------------------------------------
0x00003948,mpc555_diagServiceTransferBlock,return,,void,Reverted: r4-return needs custom storage to model safely
0x00001ef8,cm848_diagSendResponseCode,return,,void,Reverted: r4-return needs custom storage to model safely
0x00001ef8,cm848_diagSendResponseCode,0,response_code,byte,Response/service code to send
0x00001ef8,cm848_diagSendResponseCode,1,negative_response_id,int,Negative-response service id (0x7f) or 0
