name,comment,memory_address,length,type,unit
"ConfigFile.ADBTVTOD","ALGORITHM_ENABLE_FLAGS WORD 5 BIT 13~ENABLE / DISABLE","01000194","2","1","NONE"
"ConfigFile.ADBSPROR","BOOST PRESSURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADBSPROD","BOOST_PRESSURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADACSNEN","ENABLE FLAG FOR ACTUAL SENSOR VALUES ALGORITHM~0-1","010001CC","2","1","NONE"
"ConfigFile.ADAATPOR","AMBIENT AIR TEMPERATURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADAATPOD","AMBIENT_AIR_TEMPERATURE_OVERRIDE, ALGORITHM_ENABLE_FL~ENABLE / DISABLE","01000194","2","1","NONE"
"ConfigFile.ADAAPROR","AMBIENT AIR PRESSURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADAAPROD","AMBIENT_AIR_PRESSURE_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ACCLFBUV","CLIENT SPECIFIED VALUE FOR THE RLY7 FEEDBACK~ON/OFF","0080BCDD","1","1","NONE"
"ConfigFile.ACCLFBUO","BIT 14, AN ENABLE FLAG WHICH ALLOWS A CLIENT TO OVERRID~ENABLE/DISABLE","010001A8","2","1","NONE"
"ConfigFile.AAPRCOEN","AMBIENT PRESSURE CONTROL ALGORITHM ENABLE~1=ENABLED/0=DISABLED","010001CC","2","1","NONE"
"ConfigFile.5DFL00XA","ENGINE SPEED AXIS FOR THE TRANSIENT 4D FUELING TABLE (21 VALU~0 - 3000","00060982","21","4","RPM"
"ConfigFile.5DCLAJEN","ENABLES ADDITION OF COOLANT TEMP FUEL TO 100% FUE~1=ENABLED/0=DISABLED","010001CA","2","1","NONE"
"ConfigFile.ADRTOR","REMOTE THROTTLE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADOPOR","OIL PRESSURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADFTOR","FUEL TEMPERATURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADFPOR","FUEL_PRESSURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADCVOR","COOLANT LEVEL OVERRIDE RAW ENABLE~ENABLE/DISABLE","010001B6","2","1","NONE"
"ConfigFile.ADCVOD","COOLANT_LEVEL_OVERRIDE~ENABLE/DISABLE","01000194","2","1","NONE"
"ConfigFile.ADCROD","CRUISE_CONTROL_SWITCH_MUX_OVERRIDE~ENABLE/DISABLE","01000196","2","1","NONE"
"ConfigFile.ACFDEN","WHETHER OR NOT AND HOW THE FORD AC IS ENABLED~1=ENABLED/0=DISABLED","010001CA","2","1","NONE"
"ConfigFile.ADAAPRLL","A/D LOW ERROR LIMIT FOR AMBIENT AIR PRESSURE~0 - 1023","00806C10","2","0",""
"ConfigFile.ADAAPRHL","A/D HIGH ERROR LIMIT FOR AMBIENT AIR PRESSURE~0 - 1023","00806C0E","2","0",""
"ConfigFile.5DFL00ZA","TRANSIENT FUEL LOOK-UP TABLE USED BY 4D FUELING TO DETERMIN~-200 - 100","00060982","2","6","MM3S"
