firmware,address,current_name,classification,prefix,indicators,suggested_name
cm550,0x0001b6ce,slowCycle20Coordinator,unknown,cm550_,,cm550_slowCycle20Coordinator
cm550,0x0001b6d4,empty_debug_hook,unknown,cm550_,,cm550_empty_debug_hook
cm550,0x0001b6f8,vp44ProtectionSlowCycle20Coordinator,vp44,vp44_,vp44,vp44ProtectionSlowCycle20Coordinator
cm550,0x0001b6fe,engineModeBasedOutputControlSlowCycle20Coordinator,unknown,cm550_,,cm550_engineModeBasedOutputControlSlowCycle20Coordinator
cm550,0x0001b70a,emptySlowCycle20PlaceholderCase15,unknown,cm550_,,cm550_emptySlowCycle20PlaceholderCase15
cm550,0x0001b70c,dzgTimingAndPressureSlowCycle10Coordinator,unknown,cm550_,,cm550_dzgTimingAndPressureSlowCycle10Coordinator
cm550,0x0001b714,rpmBasedFuelLimiterCoordinator,unknown,cm550_,,cm550_rpmBasedFuelLimiterCoordinator
cm550,0x0001b71a,sensorStatusHistorySlowCycle20Coordinator,unknown,cm550_,,cm550_sensorStatusHistorySlowCycle20Coordinator
cm550,0x0001b722,shutdownProtectionSlowCycle10Coordinator,unknown,cm550_,,cm550_shutdownProtectionSlowCycle10Coordinator
cm550,0x0001b72a,camSyncDiagnosticProcessingSlowCycle20Coordinator,unknown,cm550_,,cm550_camSyncDiagnosticProcessingSlowCycle20Coordinator
cm550,0x0001b78e,slowCycle8Coordinator,unknown,cm550_,,cm550_slowCycle8Coordinator
cm550,0x0001b794,engineParameterAndBoostControlWrapper,unknown,cm550_,,cm550_engineParameterAndBoostControlWrapper
cm550,0x0001b7a2,auxiliarySystemControlWrapper,unknown,cm550_,,cm550_auxiliarySystemControlWrapper
cm550,0x0001b7ca,vp44DiagnosticFaultMonitoringSlowCycle20Coordinator,vp44,vp44_,vp44,vp44DiagnosticFaultMonitoringSlowCycle20Coordinator
cm550,0x0001b7d8,vp44FsoFaultMonitoringSlowCycle20Coordinator,vp44,vp44_,vp44,vp44FsoFaultMonitoringSlowCycle20Coordinator
cm550,0x0001b85a,vp44DiagnosticControlSlowCycle20Coordinator,vp44,vp44_,vp44,vp44DiagnosticControlSlowCycle20Coordinator
cm550,0x0001bf54,scheduler_init,mc68k,mc68k_,_dat_00ff,mc68k_scheduler_init
cm550,0x0001bfa2,circularBufferPush,unknown,cm550_,,cm550_circularBufferPush
cm550,0x0001bfde,circularBufferPop,unknown,cm550_,,cm550_circularBufferPop
cm550,0x0001c016,circularBufferInit,unknown,cm550_,,cm550_circularBufferInit
cm550,0x0001c03c,diagnosticFuelLimitInterpolator,unknown,cm550_,,cm550_diagnosticFuelLimitInterpolator
cm550,0x0001c31a,flashEraseWithWatchdog,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_flashEraseWithWatchdog
cm550,0x0001c4ba,flashProgramWordWithWatchdog,mc68k,mc68k_,dat_00ffd+dat_00fff,mc68k_flashProgramWordWithWatchdog
cm550,0x0001c5e8,flashProgramFromRam,unknown,cm550_,,cm550_flashProgramFromRam
cm550,0x0001c630,diagnosticStatusDefaultSetter,unknown,cm550_,,cm550_diagnosticStatusDefaultSetter
cm550,0x0001c640,diagnostic_parameter_handler,unknown,cm550_,,cm550_diagnostic_parameter_handler
cm550,0x0001c65e,fuelDemandTableBlendCalculator,unknown,cm550_,,cm550_fuelDemandTableBlendCalculator
cm550,0x0001ca54,fuelDemandLimitSelector11,unknown,cm550_,,cm550_fuelDemandLimitSelector11
cm550,0x0001ca5c,canPinVp44StatusController,vp44,vp44_,vp44,vp44_canPinVp44StatusController
cm550,0x0001cb76,calculateBlendedTableValue,unknown,cm550_,,cm550_calculateBlendedTableValue
cm550,0x0001ce7c,initDiagnosticProtocol,unknown,cm550_,,cm550_initDiagnosticProtocol
cm550,0x0001d2e4,update_engine_protection_thresholds,unknown,cm550_,,cm550_update_engine_protection_thresholds
cm550,0x0001d9b4,vp44SensorStatusMonitor,vp44,vp44_,vp44,vp44SensorStatusMonitor
cm550,0x0001db9a,fuelArbitratorVariablesReset,vp44,vp44_,vp44,vp44_fuelArbitratorVariablesReset
cm550,0x0001dbee,main,mc68k,mc68k_,dat_00fff+_dat_00ff,mc68k_main
cm550,0x0001dcfc,vp44ControlStructureInit,vp44,vp44_,vp44,vp44ControlStructureInit
cm550,0x0001dd2c,diagnosticBufferPointerInit,unknown,cm550_,,cm550_diagnosticBufferPointerInit
cm550,0x0001e02a,subtractAndClampValue,unknown,cm550_,,cm550_subtractAndClampValue
cm550,0x0001e056,serialNodeAddressChecker,unknown,cm550_,,cm550_serialNodeAddressChecker
cm550,0x0001e086,serialNodeAddressForwarder,unknown,cm550_,,cm550_serialNodeAddressForwarder
cm550,0x0001e0bc,canFrameDataCopy,unknown,cm550_,,cm550_canFrameDataCopy
cm550,0x0001e1a0,canMessageInterruptHandlerSetup,unknown,cm550_,,cm550_canMessageInterruptHandlerSetup
cm550,0x0001e1ac,emptyStubWrapper1,unknown,cm550_,,cm550_emptyStubWrapper1
cm550,0x0001e1be,modeBasedDataDispatcherWrapper,unknown,cm550_,,cm550_modeBasedDataDispatcherWrapper
cm550,0x0001e1d0,serialPort2IsrHandler,mc68k,mc68k_,dat_00ffc,mc68k_serialPort2IsrHandler
cm550,0x0001e25a,serialCommunicationIsrRegister,unknown,cm550_,,cm550_serialCommunicationIsrRegister
cm550,0x0001e266,tpuTimerChannelEnable,mc68k,mc68k_,tpu_+_dat_00ff,mc68k_tpuTimerChannelEnable
cm550,0x0001e288,epsPositionSensorIsrHandler,mc68k,mc68k_,tpu_+_dat_00ff,mc68k_epsPositionSensorIsrHandler
cm550,0x0001e522,tpuChannelIsrRegister,unknown,cm550_,,cm550_tpuChannelIsrRegister
cm550,0x0001e734,interruptCounter1Increment,unknown,cm550_,,cm550_interruptCounter1Increment
cm550,0x0001e76a,interruptCounter2Increment,unknown,cm550_,,cm550_interruptCounter2Increment
cm550,0x0001e77a,initVectorTable,unknown,cm550_,,cm550_initVectorTable
cm550,0x0001e79a,insiteMultiFrameResponseBuilder,unknown,cm550_,,cm550_insiteMultiFrameResponseBuilder
cm550,0x0001e89e,insiteMultiFrameContinuation,unknown,cm550_,,cm550_insiteMultiFrameContinuation
cm550,0x0001eb88,responseBufferSpaceCheck,unknown,cm550_,,cm550_responseBufferSpaceCheck
cm550,0x0001ec08,responseBufferFinalize,unknown,cm550_,,cm550_responseBufferFinalize
cm550,0x0001ec3c,diagnosticMemoryWriteHandler,unknown,cm550_,,cm550_diagnosticMemoryWriteHandler
