address,name,type,comment,length,calterm_type,unit,data_pattern
0X000605F2,CPCS02YA,word,DATA AXIS FOR COMPRESSION RATIO RAISED TO POWER OF A POLYTROPIC CONSTA,2,6,NONE,axis
0X000606A4,CPDSXA,byte[13],ENGINE SPEED REFERENCE AXIS FOR DESIRED CYLINDER PRESSURE TABLE,13,4,RPM,axis
0X000608A4,5DFL01ZA,word,SS FUEL LOOK-UP TABLE USED BY 4D FUELING TO DETERMINE THROTTLE COMMAND,2,6,MM3S,lookup
0X0000800E,BLOKDATA,byte[60],NONE,60,2,HEX,data
0X00806AE2,ADIMTPCS,word,A/D DIGITAL FILTER CONSTANT FOR INTAKE MANIFOLD TEMPERATURE,2,0,,data
0X00806AE4,ADDFIMTP,word,GLOBAL DEFAULT VALUE FOR INTAKE MANIFOLD TEMPERATURE,2,0,DEGF,value
0X00806AE6,ADIMTPCC,word,A/D FAULT CLEAR COUNTS FOR INTAKE MANIFOLD TEMPERATURE,2,0,,counter
0X00806AE8,ADIMTPDT,word,A/D FAULT DECREMENT FOR INTAKE MANIFOLD TEMPERATURE,2,0,CNTS,data
0X00806AEA,ADIMTPIC,word,A/D FAULT INCREMENT FOR INTAKE MANIFOLD TEMPERATURE,2,0,CNTS,data
0X00806AEC,ADIMTPSE,word,A/D FAULT SET FOR INTAKE MANIFOLD TEMPERATURE,2,0,CNTS,data
0X00806AEE,ADIMTPHL,word,A/D HIGH ERROR LIMIT FOR INTAKE MANIFOLD TEMPERATURE,2,0,,threshold
0X00806AF0,ADIMTPLL,word,A/D LOW ERROR LIMIT FOR INTAKE MANIFOLD TEMPERATURE,2,0,,threshold
0X00806AF2,ADIMTPCA,word,INTAKE_MANIFOLD_TEMPERATURE_CHANNEL_ADDRESS,2,0,NONE,address
0X00806AF4,ADIMTPMU,byte,CHANNEL MUX SETTING,1,0,NONE,data
0X00806AF5,ADIMTPTS,byte,TRI STATE FLAG - INTAKE MANIFOLD TEMPERATURE,1,0,,flag
0X00806AF6,ADIMTPHE,byte,ERROR NUMBER STORAGE FOR INTAKE_MANIFOLD_TEMPERATURE_HIGH_ERROR,1,0,NONE,data
0X00806AF7,ADIMTPLE,byte,ERROR NUMBER STORAGE FOR INTAKE_MANIFOLD_TEMPERATURE_LOW_ERROR,1,0,NONE,data
0X00806AF8,ADIMTPTE,byte,ERROR NUMBER STORAGE FOR IN_RANGE_ERROR - INTAKE MANIFOLD TEMPERATURE,1,0,NONE,data
0X00806AF9,ADIMTPSA,byte,A/D SAMPLE PERIOD FOR INTAKE MANIFOLD TEMPERATURE,1,0,MSEC,data
0X00806AFA,ADFLTPCS,word,A/D DIGITAL FILTER CONSTANT FOR FUEL TEMPERATURE,2,0,,data
0X00806AFC,ADDFFLTP,word,GLOBAL DEFAULT VALUE FOR FUEL TEMPERATURE,2,0,DEGF,value
0X00806AFE,ADFLTPCC,word,A/D FAULT CLEAR COUNTS FOR FUEL TEMPERATURE,2,0,,counter
0X00806B00,ADFLTPDT,word,A/D FAULT DECREMENT FOR FUEL TEMPERATURE,2,0,CNTS,data
0X00806B0A,ADFLTPCA,word,FUEL_TEMPERATURE_CHANNEL_ADDRESS,2,0,NONE,address
0X00806B0C,ADFLTPMU,byte,CHANNEL MUX SETTING,1,0,NONE,data
0X00806B0D,ADFLTPTS,byte,TRI STATE FLAG - FUEL TEMPERATURE,1,0,,flag
0X00806B0E,ADFLTPHE,byte,ERROR NUMBER STORAGE FOR FUEL_TEMPERATURE_HIGH_ERROR,1,0,NONE,data
0X00806B0F,ADFLTPLE,byte,ERROR NUMBER STORAGE FOR FUEL_TEMPERATURE_LOW_ERROR,1,0,NONE,data
0X00806B1A,ADCVIC,word,COOLANT LEVEL A/D FAULT INCREMENT,2,0,CNTS,data
0X00806B1C,ADCVSE,word,COOLANT LEVEL A/D FAULT SET,2,0,CNTS,data
0X00806B1E,ADCVHL,word,COOLANT LEVEL A/D HIGH ERROR LIMIT,2,0,,threshold
0X00806B02,ADFLTPIC,word,A/D FAULT INCREMENT FOR FUEL TEMPERATURE,2,0,CNTS,data
0X00806B2A,ADSYFPCS,word,A/D DIGITAL FILTER CONSTANT,2,0,,data
0X00806B2C,ADSYFPGD,word,GLOBAL DEFAULT VALUE,2,0,,value
0X00806B2E,ADSYFPFC,word,A/D FAULT CLEAR COUNTS,2,0,,counter
0X00806B3C,ADSYFPMU,byte,CHANNEL MUX SETTING,1,0,NONE,data
0X00806B3D,ADSYFPTS,byte,TRI STATE ERROR,1,0,,data
0X00806B3E,ADSYFPHE,byte,ERROR NUMBER STORAGE FOR ENGINE_SYNC_FUEL_PRESSURE_HIGH_LIMIT ERROR,1,0,NONE,threshold
0X00806B3F,ADSYFPLE,byte,ERROR NUMBER STORAGE FOR ENGINE_SYNC_FUEL_PRESSURE_LOW_ERROR,1,0,NONE,data
0X00806B04,ADFLTPSE,word,A/D FAULT SET FOR FUEL TEMPERATURE,2,0,CNTS,data
0X00806B4A,ADOLPRIC,word,A/D FAULT INCREMENT FOR OIL PRESSURE,2,0,CNTS,data
0X00806B4C,ADOLPRSE,word,A/D FAULT SET FOR OIL PRESSURE,2,0,CNTS,data
0X00806B4E,ADOLPRHL,word,A/D HIGH ERROR LIMIT FOR OIL PRESSURE,2,0,,threshold
0X00806B5A,ADBSPRCS,word,A/D DIGITAL FILTER CONSTANT FOR BOOST PRESSURE,2,0,,data
0X00806B5C,ADDFBSPR,word,GLOBAL DEFAULT VALUE FOR BOOST PRESSURE,2,0,INHG,value
0X00806B5E,ADBSPRCC,word,A/D FAULT CLEAR COUNTS FOR BOOST PRESSURE,2,0,,counter
0X00806B06,ADFLTPHL,word,A/D HIGH ERROR LIMIT FOR FUEL TEMPERATURE,2,0,,threshold
0X00806B6A,ADBSPRCA,word,BOOST_PRESSURE_CHANNEL_ADDRESS,2,0,NONE,address
0X00806B6C,ADBSPRMU,byte,CHANNEL MUX SETTING,1,0,NONE,data
0X00806B6D,ADBSPRTS,byte,TRI STATE FLAG - BOOST PRESSURE,1,0,,flag
0X00806B6E,ADBSPRHE,byte,ERROR NUMBER STORAGE FOR BOOST_PRESSURE_HIGH_ERROR,1,0,NONE,data
0X00806B6F,ADBSPRLE,byte,ERROR NUMBER STORAGE FOR BOOST_PRESSURE_LOW_ERROR,1,0,NONE,data
0X00806B7A,ADCLTPIC,word,A/D FAULT INCREMENT FOR COOLANT TEMPERATURE,2,0,CNTS,data
0X00806B7C,ADCLTPSE,word,A/D FAULT SET FOR COOLANT TEMPERATURE,2,0,,data
0X00806B7E,ADCLTPHL,word,A/D HIGH ERROR LIMIT FOR COOLANT TEMPERATURE,2,0,,threshold
0X00806B08,ADFLTPLL,word,A/D LOW ERROR LIMIT FOR FUEL TEMPERATURE,2,0,,threshold
0X00806B8A,ADTTCS,word,A/D DIGITAL FILTER CONSTANT,2,0,,data
0X00806B8C,ADTTGD,word,GLOBAL DEFAULT VALUE,2,0,DEGF,value
0X00806B8E,ADTTCC,word,A/D FAULT CLEAR COUNTS,2,0,,counter
0X00806B9A,ADTTCA,word,TRANSMISSION_TEMPERATURE_CHANNEL_ADDRESS,2,0,NONE,address
0X00806B9C,ADTTMU,byte,CHANNEL MUX SETTING,1,0,NONE,data
0X00806B9E,ADTTHE,byte,ERROR NUMBER STORAGE FOR TRANSMISSION_TEMPERATURE_HIGH_ERROR,1,0,NONE,data
0X00806B9F,ADTTLE,byte,ERROR NUMBER STORAGE FOR TRANSMISSION_TEMPERATURE_LOW_ERROR,1,0,NONE,data
0X00806B10,ADFLTPTE,byte,ERROR NUMBER STORAGE FOR IN_RANGE_ERROR - FUEL TEMPERATURE,1,0,NONE,data
0X00806B11,ADFLTPSA,byte,A/D SAMPLE PERIOD FOR FUEL TEMPERATURE,1,0,MSEC,data
0X00806B12,ADCVCS,word,COOLANT LEVEL A/D DIGITAL FILTER CONSTANT,2,0,,data
0X00806B14,ADCVGD,word,COOLANT LEVEL GLOBAL DEFAULT VALUE,2,0,NONE,value
0X00806B16,ADCVCC,word,COOLANT LEVEL CHANNEL ADDRESS,2,0,,address
0X00806B18,ADCVDT,word,COOLANT LEVEL A/D FAULT DECREMENT,2,0,CNTS,data
0X00806B20,ADCVLL,word,COOLANT LEVEL A/D LOW ERROR LIMIT,2,0,,threshold
0X00806B22,ADCVCA,word,COOLANT LEVEL CHANNEL ADDRESS,2,0,NONE,address
0X00806B24,ADCVMU,byte,COOLANT LEVEL CHANNEL MUX SETTING,1,0,NONE,data
0X00806B25,ADCVTS,byte,COOLANT LEVEL TRI STATE FLAG,1,0,,flag
0X00806B26,ADCVHE,byte,ERROR NUMBER STORAGE FOR COOLANT_LEVEL_HIGH_ERROR,1,0,NONE,data
0X00806B27,ADCVLE,byte,ERROR NUMBER STORAGE FOR COOLANT_LEVEL_LOW_ERROR,1,0,NONE,data
