"name","comment","type","length","unit","memory_address","id","name_short","filename","inserted_at","full_name"
"ConfigFile.ADAAPRDT","A/D FAULT DECREMENT FOR AMBIENT AIR PRESSURE~0 - 32767","0","2","CNTS","00806C08",32,"ADAAPRDT","64t6","2025-08-29 09:25:34.670646","ADAAPRDT"
"ConfigFile.ADAAPRFT","FILTERED AMBIENT AIR PRESSURE AS READ AND SCALED FROM A/D ALGOR~0 - 15","0","2","INHG","0080A3BA",33,"ADAAPRFT","64t6","2025-08-29 09:25:34.670646","ADAAPRFT"
"ConfigFile.ADAAPRHE","ERROR NUMBER STORAGE FOR AMBIENT_AIR_PRESSURE_HIGH_ERROR~0 - 255","0","1","NONE","00806C16",34,"ADAAPRHE","64t6","2025-08-29 09:25:34.670646","ADAAPRHE"
"ConfigFile.ADAAPRHL","A/D HIGH ERROR LIMIT FOR AMBIENT AIR PRESSURE~0 - 1023","0","2","","00806C0E",35,"ADAAPRHL","64t6","2025-08-29 09:25:34.670646","ADAAPRHL"
"ConfigFile.ADAAPRIC","A/D FAULT INCREMENT FOR AMBIENT AIR PRESSURE~0 - 32767","0","2","CNTS","00806C0A",36,"ADAAPRIC","64t6","2025-08-29 09:25:34.670646","ADAAPRIC"
"ConfigFile.ADAAPRLE","ERROR NUMBER STORAGE FOR AMBIENT_AIR_PRESSURE_LOW_ERROR~0 - 255","0","1","NONE","00806C17",37,"ADAAPRLE","64t6","2025-08-29 09:25:34.670646","ADAAPRLE"
"ConfigFile.ADAAPRLL","A/D LOW ERROR LIMIT FOR AMBIENT AIR PRESSURE~0 - 1023","0","2","","00806C10",38,"ADAAPRLL","64t6","2025-08-29 09:25:34.670646","ADAAPRLL"
"ConfigFile.ADAAPRMU","CHANNEL MUX SETTING~0 - 255","0","1","NONE","00806C14",39,"ADAAPRMU","64t6","2025-08-29 09:25:34.670646","ADAAPRMU"
"ConfigFile.ADAAPROR","AMBIENT AIR PRESSURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","1","2","NONE","010001B6",5889,"ADAAPROR","64t6","2025-08-29 21:36:26.685056","ADAAPROR"
"ConfigFile.ADAAPRPR","PRIORITY OF CLIENT OVERRIDING AMBIENT AIR PRESS RAW~0-FF","0","2","HEX","0080A714",40,"ADAAPRPR","64t6","2025-08-29 09:25:34.670646","ADAAPRPR"
"ConfigFile.ADAAPRPZ","PRIORITY OF CLIENT OVERRIDING FINAL AMBIENT AIR  PRESSURE~0-FF","0","2","HEX","0080A6E2",41,"ADAAPRPZ","64t6","2025-08-29 09:25:34.670646","ADAAPRPZ"
"ConfigFile.ADAAPRRC","RAW COUNTS FOR AMBIENT AIR PRESSURE~0 - 1023","0","2","","0080A3C2",42,"ADAAPRRC","64t6","2025-08-29 09:25:34.670646","ADAAPRRC"
"ConfigFile.ADAAPRSA","A/D SAMPLE PERIOD FOR AMBIENT AIR PRESSURE~0, 5 - 4000","0","1","MSEC","00806C19",43,"ADAAPRSA","64t6","2025-08-29 09:25:34.670646","ADAAPRSA"
"ConfigFile.ADAAPRSE","A/D FAULT SET FOR AMBIENT AIR PRESSURE~0 - 32767","0","2","CNTS","00806C0C",44,"ADAAPRSE","64t6","2025-08-29 09:25:34.670646","ADAAPRSE"
"ConfigFile.ADAAPRTE","ERROR NUMBER STORAGE FOR TRI STATE ERROR - AMBIENT AIR PRESSURE~NONE","0","1","NONE","00806C18",45,"ADAAPRTE","64t6","2025-08-29 09:25:34.670646","ADAAPRTE"
"ConfigFile.ADAAPRTS","TRI STATE FLAG - AMBIENT AIR PRESSURE~ENABLE / DISABLE","0","1","","00806C15",46,"ADAAPRTS","64t6","2025-08-29 09:25:34.670646","ADAAPRTS"
"ConfigFile.ADAAPRUF","UNFILTERED AND LINEARIZED AMBIENT AIR PRESSURE~0 - 15","0","2","INHG","0080A3BC",47,"ADAAPRUF","64t6","2025-08-29 09:25:34.670646","ADAAPRUF"
"ConfigFile.ADAAPRXA","AMBIENT AIR LINEARIZATION TABLE, X-AXIS~0 - 1023","4","4","CNTS","00806F3C",49,"ADAAPRXA","64t6","2025-08-29 09:25:34.670646","ADAAPRXA"
"ConfigFile.ADAATPCA","AMBIENT AIR TEMPERATURE CHANNEL ADDRESS~NONE","0","2","NONE","00806B9A",50,"ADAATPCA","64t6","2025-08-29 09:25:34.670646","ADAATPCA"
"ConfigFile.ADAATPCC","A/D FAULT CLEAR COUNTS FOR AMBIENT AIR TEMPERATURE~0 - 10000","0","2","CNT","00806B8E",51,"ADAATPCC","64t6","2025-08-29 09:25:34.670646","ADAATPCC"
"ConfigFile.ADAATPCS","A/D DIGITAL FILTER CONSTANT FOR AMBIENT AIR TEMPERATURE~0 - 1","0","2","FC","00806B8A",52,"ADAATPCS","64t6","2025-08-29 09:25:34.670646","ADAATPCS"
"ConfigFile.ADAATPDT","A/D FAULT DECREMENT FOR AMBIENT AIR TEMPERATURE~1 - 100","0","2","CNT","00806B90",53,"ADAATPDT","64t6","2025-08-29 09:25:34.670646","ADAATPDT"
"ConfigFile.ADAATPHE","ERROR NUMBER STORAGE FOR AMBIENT_AIR_TEMPERATURE_HIGH_ERROR_ID~0 - 255","0","1","NONE","00806B9E",54,"ADAATPHE","64t6","2025-08-29 09:25:34.670646","ADAATPHE"
"ConfigFile.ADAATPHL","A/D HIGH ERROR LIMIT FOR RAW AMBIENT AIR TEMPERATURE~0-1023","0","2","NONE","00806B96",55,"ADAATPHL","64t6","2025-08-29 09:25:34.670646","ADAATPHL"
"ConfigFile.ADAATPIC","A/D FAULT INCREMENT FOR AMBIENT AIR TEMPERATURE~2 - 1000","0","2","CNT","00806B92",56,"ADAATPIC","64t6","2025-08-29 09:25:34.670646","ADAATPIC"
"ConfigFile.ADAATPLE","ERROR STORAGE NUMBER FOR AMBIENT AIR TEMPERATURE LOW ERROR~0-255","0","1","NONE","00806B9F",57,"ADAATPLE","64t6","2025-08-29 09:25:34.670646","ADAATPLE"
"ConfigFile.ADAATPLR","AD LOW ERROR LIMIT FOR AMBIENT AIR TEMPERATURE~0-1023","0","2","","00806B98",58,"ADAATPLR","64t6","2025-08-29 09:25:34.670646","ADAATPLR"
"ConfigFile.ADAATPMU","CHANNEL MUX SETTING~0-255","0","1","NONE","00806B9C",59,"ADAATPMU","64t6","2025-08-29 09:25:34.670646","ADAATPMU"
"ConfigFile.ADAATPOD","AMBIENT_AIR_TEMPERATURE_OVERRIDE, ALGORITHM_ENABLE_FL~ENABLE / DISABLE","1","2","NONE","01000194",5888,"ADAATPOD","64t6","2025-08-29 21:36:26.683591","ADAATPOD"
"ConfigFile.ADAATPOR","AMBIENT AIR TEMPERATURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","1","2","NONE","010001B6",5887,"ADAATPOR","64t6","2025-08-29 21:36:26.681999","ADAATPOR"
"ConfigFile.ADAATPPR","PRIORITY OF CLIENT OVERRIDING RAW AMBIENT AIR TEMPERATURE~0-FF","0","2","HEX","0080A70A",60,"ADAATPPR","64t6","2025-08-29 09:25:34.670646","ADAATPPR"
"ConfigFile.ADAATPPZ","PRIORITY OF CLIENT OVERRIDING FILTERED AMBIENT AIR TEMPERATURE~0-FF","0","2","HEX","0080A6D8",61,"ADAATPPZ","64t6","2025-08-29 09:25:34.670646","ADAATPPZ"
"ConfigFile.ADAATPRC","RAW VALUE FROM A/D CONVERTER CHANNEL 7~0 - 1023","0","2","CNT","0080A354",62,"ADAATPRC","64t6","2025-08-29 09:25:34.670646","ADAATPRC"
"ConfigFile.ADAATPSA","A/D SAMPLE PERIOD FOR AMBIENT AIR TEMPERATURE~0 - 4000","0","1","MSEC","00806BA1",63,"ADAATPSA","64t6","2025-08-29 09:25:34.670646","ADAATPSA"
"ConfigFile.ADAATPSE","A/D FAULT SET FOR AMBIENT AIR TEMPERATURE~400 - 40000","0","2","CNT","00806B94",64,"ADAATPSE","64t6","2025-08-29 09:25:34.670646","ADAATPSE"
"ConfigFile.ADAATPTE","ERROR NUMBER STORAGE FOR TRI STATE ERROR ID~NONE","0","1","NONE","00806BA0",65,"ADAATPTE","64t6","2025-08-29 09:25:34.670646","ADAATPTE"
"ConfigFile.ADAATPTS","TRI STATE FLAG - AMBIENT AIR TEMPERATURE~ENABLE / DISABLE","0","1","HEX","00806B9D",66,"ADAATPTS","64t6","2025-08-29 09:25:34.670646","ADAATPTS"
"ConfigFile.ADAATPUR","AMBIENT AIR TEMPERATURE RAW USER VALUE~0-1023","0","2","NONE","0080A76E",67,"ADAATPUR","64t6","2025-08-29 09:25:34.670646","ADAATPUR"
"ConfigFile.ADAATXA","X-AXIS~0 - 1023","4","8","CNTS","00806ED0",68,"ADAATXA","64t6","2025-08-29 09:25:34.670646","ADAATXA"
"ConfigFile.ADBS01","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000EC",69,"ADBS01","64t6","2025-08-29 09:25:34.670646","ADBS01"
"ConfigFile.ADBS02","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000EE",70,"ADBS02","64t6","2025-08-29 09:25:34.670646","ADBS02"
"ConfigFile.ADBS03","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000F0",71,"ADBS03","64t6","2025-08-29 09:25:34.670646","ADBS03"
"ConfigFile.ADBS04","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000F2",72,"ADBS04","64t6","2025-08-29 09:25:34.670646","ADBS04"
"ConfigFile.ADBS05","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000FA",73,"ADBS05","64t6","2025-08-29 09:25:34.670646","ADBS05"
"ConfigFile.ADBS06","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000FC",74,"ADBS06","64t6","2025-08-29 09:25:34.670646","ADBS06"
"ConfigFile.ADBS07","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","010000FE",75,"ADBS07","64t6","2025-08-29 09:25:34.670646","ADBS07"
"ConfigFile.ADBS08","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","0100010A",76,"ADBS08","64t6","2025-08-29 09:25:34.670646","ADBS08"
"ConfigFile.ADBS09","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","0100010C",77,"ADBS09","64t6","2025-08-29 09:25:34.670646","ADBS09"
"ConfigFile.ADBS10","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","0100010E",78,"ADBS10","64t6","2025-08-29 09:25:34.670646","ADBS10"
"ConfigFile.ADBS11","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000110",79,"ADBS11","64t6","2025-08-29 09:25:34.670646","ADBS11"
"ConfigFile.ADBS12","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000112",80,"ADBS12","64t6","2025-08-29 09:25:34.670646","ADBS12"
"ConfigFile.ADBS13","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000114",81,"ADBS13","64t6","2025-08-29 09:25:34.670646","ADBS13"
"ConfigFile.ADBS14","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","4","NONE","01000118",82,"ADBS14","64t6","2025-08-29 09:25:34.670646","ADBS14"
"ConfigFile.ADBS15","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000120",83,"ADBS15","64t6","2025-08-29 09:25:34.670646","ADBS15"
"ConfigFile.ADBS16","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000122",84,"ADBS16","64t6","2025-08-29 09:25:34.670646","ADBS16"
"ConfigFile.ADBS17","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000124",85,"ADBS17","64t6","2025-08-29 09:25:34.670646","ADBS17"
"ConfigFile.ADBS18","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000126",86,"ADBS18","64t6","2025-08-29 09:25:34.670646","ADBS18"
"ConfigFile.ADBS19","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","01000128",87,"ADBS19","64t6","2025-08-29 09:25:34.670646","ADBS19"
"ConfigFile.ADBS20","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","0100012A",88,"ADBS20","64t6","2025-08-29 09:25:34.670646","ADBS20"
"ConfigFile.ADBS21","BLANK SPOT IN THE ADJUSTABLE_PARAMETERS.H FILE~NONE","0","2","NONE","0100012C",89,"ADBS21","64t6","2025-08-29 09:25:34.670646","ADBS21"
"ConfigFile.ADBS22","BLANK SPOT IN ADJUSTABLE_PARAMETERS.H~NONE","0","2","NONE","01000116",90,"ADBS22","64t6","2025-08-29 09:25:34.670646","ADBS22"
"ConfigFile.ADBS23","BLANK SPOT IN ADJUSTABLE_PARAMETERS.H~NONE","0","2","NONE","0100011C",91,"ADBS23","64t6","2025-08-29 09:25:34.670646","ADBS23"
"ConfigFile.ADBS24","BLANK SPOT IN ADJUSTABLE_PARAMETERS.H~NONE","0","2","NONE","0100011E",92,"ADBS24","64t6","2025-08-29 09:25:34.670646","ADBS24"
"ConfigFile.ADBS25","ALTERNATE FUELING INTERCEPT USED IN DETERMINING HSG DROOP RE~0 - 434.8","0","2","MM3S","010000E4",93,"ADBS25","64t6","2025-08-29 09:25:34.670646","ADBS25"
"ConfigFile.ADBS26","ALTERNATE FUELING INTERCEPT USED IN DETERMINING HSG DROOP RE~0 - 434.8","0","2","MM3S","010000DE",94,"ADBS26","64t6","2025-08-29 09:25:34.670646","ADBS26"
"ConfigFile.ADBS27","BLANK_SPOT~0 - 434.8","0","2","%FU","010000D6",95,"ADBS27","64t6","2025-08-29 09:25:34.670646","ADBS27"
"ConfigFile.ADBSPRCA","BOOST_PRESSURE_CHANNEL_ADDRESS~NONE","0","2","NONE","00806B6A",96,"ADBSPRCA","64t6","2025-08-29 09:25:34.670646","ADBSPRCA"
"ConfigFile.ADBSPRCC","A/D FAULT CLEAR COUNTS FOR BOOST PRESSURE~0-32767","0","2","","00806B5E",97,"ADBSPRCC","64t6","2025-08-29 09:25:34.670646","ADBSPRCC"
"ConfigFile.ADBSPRCS","A/D DIGITAL FILTER CONSTANT FOR BOOST PRESSURE~0 - 1","0","2","","00806B5A",98,"ADBSPRCS","64t6","2025-08-29 09:25:34.670646","ADBSPRCS"
"ConfigFile.ADBSPRDT","A/D FAULT DECREMENT FOR BOOST PRESSURE~0 - 32767","0","2","CNTS","00806B60",99,"ADBSPRDT","64t6","2025-08-29 09:25:34.670646","ADBSPRDT"
"ConfigFile.ADBSPRHE","ERROR NUMBER STORAGE FOR BOOST_PRESSURE_HIGH_ERROR~0 - 255","0","1","NONE","00806B6E",100,"ADBSPRHE","64t6","2025-08-29 09:25:34.670646","ADBSPRHE"
"ConfigFile.ADBSPRHL","A/D HIGH ERROR LIMIT FOR BOOST PRESSURE~0 - 1023","0","2","","00806B66",101,"ADBSPRHL","64t6","2025-08-29 09:25:34.670646","ADBSPRHL"
"ConfigFile.ADBSPRIC","A/D FAULT INCREMENT FOR BOOST PRESSURE~0 - 32767","0","2","CNTS","00806B62",102,"ADBSPRIC","64t6","2025-08-29 09:25:34.670646","ADBSPRIC"
"ConfigFile.ADBSPRLE","ERROR NUMBER STORAGE FOR BOOST_PRESSURE_LOW_ERROR~0 - 255","0","1","NONE","00806B6F",103,"ADBSPRLE","64t6","2025-08-29 09:25:34.670646","ADBSPRLE"
"ConfigFile.ADBSPRLL","A/D LOW ERROR LIMIT FOR BOOST PRESSURE~0 - 1023","0","2","","00806B68",104,"ADBSPRLL","64t6","2025-08-29 09:25:34.670646","ADBSPRLL"
"ConfigFile.ADBSPRMU","CHANNEL MUX SETTING~0 - 255","0","1","NONE","00806B6C",105,"ADBSPRMU","64t6","2025-08-29 09:25:34.670646","ADBSPRMU"
"ConfigFile.ADBSPROR","BOOST PRESSURE OVERRIDE RAW ENABLE~ENABLE/DISABLE","1","2","NONE","010001B6",5884,"ADBSPROR","64t6","2025-08-29 21:36:26.675941","ADBSPROR"
"ConfigFile.ADBSPRPR","PRIORITY OF CLIENT OVERRIDING RAW BOOST PRESSURE~0-FF","0","2","HEX","0080A706",106,"ADBSPRPR","64t6","2025-08-29 09:25:34.670646","ADBSPRPR"
"ConfigFile.ADBSPRPZ","PRIORITY OF CLIENT OVERRIDING FILTERED BOOST PRESSURE~0-FF","0","2","HEX","0080A6D4",107,"ADBSPRPZ","64t6","2025-08-29 09:25:34.670646","ADBSPRPZ"
"ConfigFile.ADBSPRSA","A/D SAMPLE PERIOD FOR BOOST PRESSURE~0, 5 - 4000","0","1","MSEC","00806B71",108,"ADBSPRSA","64t6","2025-08-29 09:25:34.670646","ADBSPRSA"
"ConfigFile.ADBSPRSE","A/D FAULT SET FOR BOOST PRESSURE~0 - 32767","0","2","CNTS","00806B64",109,"ADBSPRSE","64t6","2025-08-29 09:25:34.670646","ADBSPRSE"
"ConfigFile.ADBSPRTE","ERROR NUMBER STORAGE FOR TRI STATE ERROR - BOOST PRESSURE~NONE","0","1","NONE","00806B70",110,"ADBSPRTE","64t6","2025-08-29 09:25:34.670646","ADBSPRTE"
"ConfigFile.ADBSPRTS","TRI STATE FLAG - BOOST PRESSURE~ENABLE / DISABLE","0","1","","00806B6D",111,"ADBSPRTS","64t6","2025-08-29 09:25:34.670646","ADBSPRTS"
"ConfigFile.ADBSPRXA","BOOST PRESSURE LINEARIZATION TABLE, X-AXIS~0 - 1023","4","4","CNTS","00806E4C",113,"ADBSPRXA","64t6","2025-08-29 09:25:34.670646","ADBSPRXA"
"ConfigFile.ADBTVTCA","BATTERY_VOLTAGE_CHANNEL_ADDRESS~NONE","0","2","NONE","00806C2A",114,"ADBTVTCA","64t6","2025-08-29 09:25:34.670646","ADBTVTCA"
"ConfigFile.ADBTVTCC","A/D FAULT CLEAR COUNTS FOR BATTERY VOLTAGE~0-32767","0","2","","00806C1E",115,"ADBTVTCC","64t6","2025-08-29 09:25:34.670646","ADBTVTCC"
"ConfigFile.ADBTVTCS","A/D DIGITAL FILTER CONSTANT FOR BATTERY VOLTAGE~0 - 1","0","2","","00806C1A",116,"ADBTVTCS","64t6","2025-08-29 09:25:34.670646","ADBTVTCS"
"ConfigFile.ADBTVTDT","A/D FAULT DECREMENT FOR BATTERY VOLTAGE~0 - 32767","0","2","CNTS","00806C20",117,"ADBTVTDT","64t6","2025-08-29 09:25:34.670646","ADBTVTDT"
"ConfigFile.ADBTVTFT","FILTERED AND LINEARIZED BATTERY VOLTAGE~0 - 40","0","2","VOLT","0080A3D0",118,"ADBTVTFT","64t6","2025-08-29 09:25:34.670646","ADBTVTFT"
"ConfigFile.ADBTVTHE","ERROR NUMBER STORAGE FOR BATTERY_VOLTAGE_HIGH_ERROR~0 - 255","0","1","NONE","00806C2E",119,"ADBTVTHE","64t6","2025-08-29 09:25:34.670646","ADBTVTHE"
"ConfigFile.ADBTVTHL","A/D HIGH ERROR LIMIT FOR BATTERY VOLTAGE~0 - 1023","0","2","","00806C26",120,"ADBTVTHL","64t6","2025-08-29 09:25:34.670646","ADBTVTHL"
"ConfigFile.ADBTVTIC","A/D FAULT INCREMENT FOR BATTERY VOLTAGE~0 - 32767","0","2","CNTS","00806C22",121,"ADBTVTIC","64t6","2025-08-29 09:25:34.670646","ADBTVTIC"
"ConfigFile.ADBTVTLE","ERROR NUMBER STORAGE FOR BATTERY_VOLTAGE_LOW_ERROR~0 - 255","0","1","NONE","00806C2F",122,"ADBTVTLE","64t6","2025-08-29 09:25:34.670646","ADBTVTLE"
"ConfigFile.ADBTVTLL","A/D LOW ERROR LIMIT FOR BATTERY VOLTAGE~0 - 1023","0","2","","00806C28",123,"ADBTVTLL","64t6","2025-08-29 09:25:34.670646","ADBTVTLL"
"ConfigFile.ADBTVTMU","CHANNEL MUX SETTING~0 - 255","0","1","NONE","00806C2C",124,"ADBTVTMU","64t6","2025-08-29 09:25:34.670646","ADBTVTMU"
"ConfigFile.ADBTVTOR","BATTERY VOLTAGE OVERRIDE RAW ENABLE~ENABLE/DISABLE","1","2","NONE","010001B6",5882,"ADBTVTOR","64t6","2025-08-29 21:36:26.671627","ADBTVTOR"
"ConfigFile.ADBTVTPR","PRIORITY OF CLIENT OVERRIDING RAW AMBIENT BATTERY VOLTAGE~0-FF","0","2","HEX","0080A716",125,"ADBTVTPR","64t6","2025-08-29 09:25:34.670646","ADBTVTPR"
"ConfigFile.ADBTVTPZ","PRIORITY OF CLIENT OVERRIDING FILTERED BATTERY VOLTAGE~0-FF","0","2","HEX","0080A6E4",126,"ADBTVTPZ","64t6","2025-08-29 09:25:34.670646","ADBTVTPZ"
"ConfigFile.ADBTVTRC","RAW COUNTS FOR BATTERY VOLTAGE~0 - 1023","0","2","","0080A3D8",127,"ADBTVTRC","64t6","2025-08-29 09:25:34.670646","ADBTVTRC"
